INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_IP;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_OT
;problem_10_50_1_1_5.txt;50;159;0;50;159;15;50;159;0;50;159;0;50;159;1;50;159;13
;problem_10_50_1_2_5.txt;61;214;0;61;214;0;61;214;0;61;214;0;61;214;0;61;214;8
;problem_10_50_1_3_5.txt;100;184;0;121;199;0;121;199;0;121;199;0;121;199;0;121;199;11
;problem_10_50_1_4_5.txt;221;246;0;221;246;0;221;246;0;221;246;0;221;246;0;221;246;7
;problem_10_50_1_5_5.txt;242;213;0;242;213;15;242;213;0;242;213;0;242;213;0;242;213;6
;problem_10_50_2_1_5.txt;48;63;15;50;64;0;50;64;0;50;64;0;50;64;0;50;64;9
;problem_10_50_2_2_5.txt;30;45;0;61;79;0;61;79;0;61;79;0;61;79;0;61;79;12
;problem_10_50_2_3_5.txt;102;113;0;122;130;0;122;130;0;122;130;0;122;130;0;122;130;11
;problem_10_50_2_4_5.txt;185;195;0;226;233;15;226;233;0;226;233;0;228;233;0;226;233;12
;problem_10_50_2_5_5.txt;222;226;0;240;238;0;240;238;0;240;238;0;237;238;0;240;238;20
;problem_10_50_3_1_5.txt;43;73;0;49;79;0;49;79;0;49;79;0;49;79;0;49;79;13
;problem_10_50_3_2_5.txt;66;126;0;75;135;0;75;135;0;75;135;0;75;135;0;75;135;13
;problem_10_50_3_3_5.txt;112;182;0;112;182;0;112;182;0;112;182;0;112;182;0;112;182;7
;problem_10_50_3_4_5.txt;213;283;0;238;308;15;238;308;0;238;308;0;238;308;0;238;308;17
;problem_10_50_3_5_5.txt;197;287;0;200;290;0;200;290;0;200;290;0;200;290;0;200;290;9
;problem_10_50_4_1_5.txt;35;35;0;51;51;0;51;51;0;51;51;0;51;51;0;51;51;9
;problem_10_50_4_2_5.txt;50;50;0;79;79;0;79;79;0;79;79;0;79;79;0;79;79;12
;problem_10_50_4_3_5.txt;92;92;0;113;113;0;113;113;0;113;113;0;113;113;0;113;113;7
;problem_10_50_4_4_5.txt;229;229;0;238;238;15;238;238;0;238;238;0;238;238;0;238;238;11
;problem_10_50_4_5_5.txt;168;168;0;204;204;0;204;204;0;204;204;0;204;204;0;204;204;6
;problem_10_100_1_1_5.txt;86;198;0;86;198;0;86;198;0;86;198;0;86;198;0;86;198;9
;problem_10_100_1_2_5.txt;145;371;0;145;371;0;145;371;0;145;371;0;145;371;0;145;371;7
;problem_10_100_1_3_5.txt;321;323;0;342;324;0;342;324;0;342;324;0;342;324;0;342;324;11
;problem_10_100_1_4_5.txt;462;507;0;462;507;0;462;507;0;462;507;0;462;507;0;462;507;6
;problem_10_100_1_5_5.txt;433;481;0;433;481;15;433;481;0;433;481;0;433;481;0;433;481;7
;problem_10_100_2_1_5.txt;100;117;0;100;117;0;100;117;0;100;117;0;100;117;0;100;117;6
;problem_10_100_2_2_5.txt;82;94;0;146;159;0;146;159;0;146;159;0;146;159;0;146;159;9
;problem_10_100_2_3_5.txt;273;294;0;347;366;15;347;366;0;347;366;0;347;366;0;347;366;11
;problem_10_100_2_4_5.txt;441;481;0;459;497;0;459;497;0;459;497;0;459;497;0;459;497;12
;problem_10_100_2_5_5.txt;425;426;0;449;445;0;449;445;0;449;445;0;449;445;0;449;445;11
;problem_10_100_3_1_5.txt;91;141;0;91;141;0;91;141;0;91;141;0;101;141;0;91;141;11
;problem_10_100_3_2_5.txt;123;183;0;125;185;0;125;185;0;125;185;0;125;185;0;125;185;11
;problem_10_100_3_3_5.txt;188;248;0;238;298;0;238;298;0;238;298;0;238;298;0;238;298;20
;problem_10_100_3_4_5.txt;363;433;0;437;507;0;437;507;0;437;507;0;437;507;0;437;507;71
;problem_10_100_3_5_5.txt;421;501;0;495;575;15;495;575;0;495;575;0;495;575;0;495;575;13
;problem_10_100_4_1_5.txt;85;85;0;101;101;0;101;101;0;101;101;0;101;101;0;101;101;12
;problem_10_100_4_2_5.txt;117;117;0;129;129;0;129;129;0;129;129;0;129;129;0;129;129;13
;problem_10_100_4_3_5.txt;192;192;0;238;238;0;238;238;0;238;238;0;238;238;0;238;238;9
;problem_10_100_4_4_5.txt;429;429;0;437;437;0;437;437;0;437;437;0;437;437;0;437;437;97
;problem_10_100_4_5_5.txt;468;468;0;495;495;0;495;495;0;495;495;0;495;495;0;495;495;12
;problem_10_500_1_1_5.txt;291;873;0;464;949;0;464;949;0;464;949;0;464;949;0;464;949;12
;problem_10_500_1_2_5.txt;722;1390;0;830;1450;0;830;1450;0;830;1450;0;830;1450;0;830;1450;11
;problem_10_500_1_3_5.txt;782;2348;0;877;2396;15;877;2396;0;877;2396;0;877;2396;0;877;2396;10
;problem_10_500_1_4_5.txt;1357;2348;0;1357;2348;0;1357;2348;0;1357;2348;0;1357;2348;0;1357;2348;9
;problem_10_500_1_5_5.txt;2805;2814;0;2805;2814;0;2805;2814;0;2805;2814;0;2805;2814;0;2805;2814;9
;problem_10_500_2_1_5.txt;326;375;15;528;541;0;528;541;0;528;541;0;528;541;0;528;541;12
;problem_10_500_2_2_5.txt;740;831;0;868;875;0;868;875;0;868;875;0;868;875;0;868;875;100
;problem_10_500_2_3_5.txt;714;778;0;890;942;15;890;942;0;890;942;0;890;942;0;890;942;35
;problem_10_500_2_4_5.txt;1289;1493;0;1387;1501;0;1387;1501;0;1387;1501;0;1387;1501;0;1387;1501;19
;problem_10_500_2_5_5.txt;2754;2878;0;2935;2990;15;2935;2990;0;2935;2990;0;2935;2990;0;2935;2990;14
;problem_10_500_3_1_5.txt;497;537;0;497;537;15;497;537;0;497;537;0;497;537;0;497;537;9
;problem_10_500_3_2_5.txt;977;1017;0;1149;1189;0;1149;1189;0;1149;1189;0;1149;1189;0;1149;1189;71
;problem_10_500_3_3_5.txt;722;792;0;1038;1108;0;1038;1108;0;1038;1108;0;1038;1108;0;1038;1108;14
;problem_10_500_3_4_5.txt;1562;1642;0;1633;1703;0;1633;1703;0;1633;1703;0;1633;1703;0;1633;1703;77
;problem_10_500_3_5_5.txt;2771;2851;0;3079;3159;0;3079;3159;0;3079;3159;0;3079;3159;0;3079;3159;11
;problem_10_500_4_1_5.txt;485;485;0;498;498;0;498;498;0;498;498;0;498;498;0;498;498;10
;problem_10_500_4_2_5.txt;1098;1098;0;1154;1154;0;1154;1154;0;1154;1154;0;1154;1154;0;1154;1154;93
;problem_10_500_4_3_5.txt;792;792;0;1038;1038;0;1038;1038;0;1038;1038;0;1038;1038;0;1038;1038;10
;problem_10_500_4_4_5.txt;1600;1600;0;1637;1637;0;1637;1637;0;1637;1637;0;1637;1637;0;1637;1637;80
;problem_10_500_4_5_5.txt;3068;3068;0;3079;3079;15;3079;3079;0;3079;3079;0;3079;3079;0;3079;3079;10
;problem_10_1000_1_1_5.txt;786;2098;0;964;2287;0;964;2287;0;964;2287;0;964;2287;0;964;2287;12
;problem_10_1000_1_2_5.txt;1785;4084;0;1879;4089;15;1879;4089;0;1879;4089;0;1879;4089;0;1879;4089;9
;problem_10_1000_1_3_5.txt;1785;4084;0;1879;4089;15;1879;4089;0;1879;4089;0;1879;4089;0;1879;4089;9
;problem_10_1000_1_4_5.txt;2367;4649;0;2367;4649;15;2367;4649;0;2367;4649;0;2367;4649;0;2367;4649;7
;problem_10_1000_1_5_5.txt;5123;4213;0;5123;4213;0;5123;4213;0;5123;4213;0;5123;4213;0;5123;4213;10
;problem_10_1000_2_1_5.txt;991;1207;0;991;1207;0;991;1207;0;991;1207;0;991;1207;0;991;1207;9
;problem_10_1000_2_2_5.txt;1819;2047;0;1819;2047;0;1819;2047;0;1819;2047;0;1819;2047;0;1819;2047;60
;problem_10_1000_2_3_5.txt;2355;2661;0;2616;2864;0;2616;2864;0;2616;2864;0;2616;2864;0;2616;2864;11
;problem_10_1000_2_4_5.txt;2184;2476;0;2386;2561;15;2386;2561;0;2386;2561;0;2386;2561;0;2386;2561;17
;problem_10_1000_2_5_5.txt;4930;4959;0;5367;5336;0;5367;5336;0;5367;5336;0;5367;5336;0;5367;5336;13
;problem_10_1000_3_1_5.txt;990;1030;0;990;1030;0;990;1030;0;990;1030;0;1000;1030;0;990;1030;57
;problem_10_1000_3_2_5.txt;2132;2182;0;2153;2183;0;2153;2183;0;2153;2183;0;2153;2183;0;2153;2183;104
;problem_10_1000_3_3_5.txt;2204;2264;0;2288;2338;15;2288;2338;0;2288;2338;0;2288;2338;0;2288;2338;31
;problem_10_1000_3_4_5.txt;2469;2549;0;2633;2703;0;2633;2703;0;2633;2703;0;2633;2703;0;2633;2703;83
;problem_10_1000_3_5_5.txt;3926;4006;0;4730;4800;15;4730;4800;0;4730;4800;0;4730;4800;0;4730;4800;53
;problem_10_1000_4_1_5.txt;905;905;0;1000;1000;0;1000;1000;0;1000;1000;0;1000;1000;0;1000;1000;73
;problem_10_1000_4_2_5.txt;1598;1598;0;2153;2153;15;2153;2153;0;2153;2153;0;2153;2153;0;2153;2153;90
;problem_10_1000_4_3_5.txt;2261;2261;0;2288;2288;15;2288;2288;0;2288;2288;0;2288;2288;0;2288;2288;15
;problem_10_1000_4_4_5.txt;2600;2600;0;2633;2633;0;2633;2633;0;2633;2633;0;2633;2633;0;2633;2633;88
;problem_10_1000_4_5_5.txt;4568;4568;0;4730;4730;0;4730;4730;0;4730;4730;0;4730;4730;0;4730;4730;12
;problem_50_50_1_1_5.txt;245;581;0;243;326;1014;245;581;0;245;581;0;245;581;0;245;581;11
;problem_50_50_1_2_5.txt;354;891;0;382;561;1014;388;918;811;388;918;0;388;918;0;388;918;16
;problem_50_50_1_3_5.txt;637;953;0;647;694;1014;646;957;4461;646;957;0;647;957;1;647;957;15
;problem_50_50_1_4_5.txt;853;1170;0;794;798;1014;463;871;10016;881;1180;0;883;1180;1;881;1180;15
;problem_50_50_1_5_5.txt;1080;1087;0;749;691;1016;440;736;10016;1080;1087;0;1080;1087;2;1080;1087;6
;problem_50_50_2_1_5.txt;232;283;0;246;259;1014;246;298;0;246;298;0;246;298;0;246;298;17
;problem_50_50_2_2_5.txt;363;432;0;390;418;1014;390;461;589;390;461;0;390;461;0;390;461;14
;problem_50_50_2_3_5.txt;643;692;0;647;646;1014;648;696;6086;648;696;0;648;696;0;648;696;13
;problem_50_50_2_4_5.txt;850;928;0;815;825;1014;707;785;10016;885;960;0;884;960;1;883;960;43
;problem_50_50_2_5_5.txt;1060;1091;0;773;768;1014;619;672;10005;1079;1108;0;1079;1108;1;1079;1108;105
;problem_50_50_3_1_5.txt;224;404;0;239;339;1014;239;419;140;239;419;0;239;419;0;239;419;19
;problem_50_50_3_2_5.txt;390;700;0;398;578;1014;219;459;10016;398;708;0;398;708;0;398;708;20
;problem_50_50_3_3_5.txt;658;998;0;660;940;1001;350;590;10001;660;1000;0;660;1000;1;660;1000;16
;problem_50_50_3_4_5.txt;802;1212;0;812;1132;1001;209;449;10001;824;1234;0;824;1234;1;824;1234;24
;problem_50_50_3_5_5.txt;981;1431;0;785;1125;1001;309;549;10001;1005;1455;0;1005;1455;2;1005;1455;29
;problem_50_50_4_1_5.txt;239;239;0;239;239;1001;239;239;1;239;239;0;239;239;0;239;239;8
;problem_50_50_4_2_5.txt;378;378;0;398;398;1001;398;398;166;398;398;0;398;398;0;398;398;9
;problem_50_50_4_3_5.txt;651;651;0;660;660;1001;650;650;10001;660;660;0;660;660;0;660;660;12
;problem_50_50_4_4_5.txt;803;803;0;706;706;1001;688;688;10001;824;824;0;824;824;0;824;824;15
;problem_50_50_4_5_5.txt;994;994;0;867;867;1001;570;570;10001;1005;1005;0;1005;1005;1;1005;1005;12
;problem_50_100_1_1_5.txt;425;1067;0;462;630;1001;458;1098;12;458;1098;0;458;1098;0;458;1098;31
;problem_50_100_1_2_5.txt;798;1730;0;803;1169;1001;798;1730;756;798;1730;0;798;1730;0;798;1730;15
;problem_50_100_1_3_5.txt;1330;1866;0;1372;1347;1001;1371;1888;1027;1371;1888;0;1371;1888;2;1371;1888;14
;problem_50_100_1_4_5.txt;1594;2130;0;1482;1554;1001;1120;1842;10001;1612;2137;0;1616;2137;2;1612;2137;14
;problem_50_100_1_5_5.txt;2004;2235;0;1445;1499;1001;978;1536;10001;2080;2267;0;2080;2267;3;2080;2267;18
;problem_50_100_2_1_5.txt;457;565;0;464;486;1001;464;570;18;464;570;0;464;570;0;464;570;13
;problem_50_100_2_2_5.txt;749;873;0;807;818;1001;807;930;2036;807;930;0;807;930;0;807;930;35
;problem_50_100_2_3_5.txt;1367;1501;0;1370;1401;1001;1210;1340;10001;1372;1504;0;1373;1504;1;1373;1504;24
;problem_50_100_2_4_5.txt;1555;1695;0;1472;1492;1001;1012;1158;10001;1618;1752;0;1618;1752;2;1618;1752;37
;problem_50_100_2_5_5.txt;2076;2162;1;1545;1554;1001;1120;1253;10010;2076;2162;0;2076;2162;3;2076;2162;14
;problem_50_100_3_1_5.txt;433;633;0;439;539;1014;439;639;452;439;639;0;439;639;0;439;639;11
;problem_50_100_3_2_5.txt;912;1182;0;931;1131;1014;733;973;10015;931;1201;0;931;1201;1;931;1201;17
;problem_50_100_3_3_5.txt;1300;1650;0;1310;1570;1014;596;836;10003;1310;1660;0;1310;1660;2;1310;1660;15
;problem_50_100_3_4_5.txt;1557;1977;0;1546;1866;1014;348;588;10007;1557;1977;0;1557;1977;3;1557;1977;6
;problem_50_100_3_5_5.txt;1967;2417;0;1612;1952;1014;624;864;10015;2005;2455;0;2005;2455;4;2005;2455;15
;problem_50_100_4_1_5.txt;439;439;0;439;439;1014;439;439;0;439;439;0;439;439;0;439;439;10
;problem_50_100_4_2_5.txt;908;908;0;931;931;1014;931;931;608;931;931;0;931;931;0;931;931;9
;problem_50_100_4_3_5.txt;1285;1285;0;1310;1310;1014;1310;1310;10001;1310;1310;0;1310;1310;0;1310;1310;9
;problem_50_100_4_4_5.txt;1544;1544;0;1356;1356;1014;1388;1388;10015;1557;1557;0;1557;1557;1;1557;1557;8
;problem_50_100_4_5_5.txt;2000;2000;0;1567;1567;1014;1270;1270;10016;2005;2005;0;2005;2005;2;2005;2005;24
;problem_50_500_1_1_5.txt;2030;6037;0;2059;3291;1014;2071;6082;0;2071;6082;0;2071;6082;1;2071;6082;13
;problem_50_500_1_2_5.txt;3757;7551;0;4006;5237;1014;4001;7819;452;4001;7819;0;4001;7819;3;4001;7819;17
;problem_50_500_1_3_5.txt;6076;10668;0;6210;7508;1014;6257;10770;3027;6257;10770;0;6257;10770;6;6257;10770;15
;problem_50_500_1_4_5.txt;7984;9859;0;7358;7313;1014;4468;7311;10016;8325;10012;0;8325;10012;9;8325;10012;20
;problem_50_500_1_5_5.txt;11000;13517;0;8288;8943;1014;4307;8556;10015;11145;13550;0;11145;13550;22;11145;13550;13
;problem_50_500_2_1_5.txt;1671;1998;0;2080;2169;1014;2076;2436;0;2076;2436;0;2076;2436;1;2076;2436;34
;problem_50_500_2_2_5.txt;3791;4308;0;3982;4095;1014;4005;4533;249;4005;4533;0;4005;4533;3;4005;4533;56
;problem_50_500_2_3_5.txt;6265;6900;0;6261;6414;1014;5494;6111;10015;6265;6900;0;6265;6900;5;6265;6900;15
;problem_50_500_2_4_5.txt;8019;8652;0;7791;7872;1014;5289;5992;10015;8351;8946;0;8351;8946;9;8351;8946;31
;problem_50_500_2_5_5.txt;11221;11381;0;8608;8536;1014;6550;6984;10004;11238;11390;0;11238;11390;14;11238;11390;60
;problem_50_500_3_1_5.txt;2194;2394;0;2239;2339;1014;2232;2432;748;2232;2432;0;2232;2432;2;2232;2432;255
;problem_50_500_3_2_5.txt;4472;4742;0;4664;4844;1014;3576;3816;10008;4664;4934;0;4664;4934;6;4664;4934;13
;problem_50_500_3_3_5.txt;6293;6643;0;6460;6720;1014;2652;2892;10001;6460;6810;0;6460;6810;9;6460;6810;33
;problem_50_500_3_4_5.txt;8607;9007;1;8682;9022;1001;3474;3714;10001;8690;9090;0;8690;9090;14;8690;9090;26
;problem_50_500_3_5_5.txt;11601;12041;0;9119;9459;1015;3551;3791;10014;12005;12445;0;12005;12445;21;12004;12444;15
;problem_50_500_4_1_5.txt;2236;2236;0;2239;2239;1008;2239;2239;0;2239;2239;0;2239;2239;0;2239;2239;12
;problem_50_500_4_2_5.txt;4571;4571;0;4664;4664;1009;4664;4664;188;4664;4664;0;4664;4664;1;4664;4664;6
;problem_50_500_4_3_5.txt;6381;6381;0;6460;6460;1015;5750;5750;10014;6460;6460;0;6460;6460;3;6460;6460;24
;problem_50_500_4_4_5.txt;8409;8409;0;7737;7737;1014;5888;5888;10001;8690;8690;0;8690;8690;7;8690;8690;40
;problem_50_500_4_5_5.txt;11936;11936;1;8926;8926;1010;7270;7270;10015;12005;12005;0;12005;12005;17;12004;12004;18
;problem_50_1000_1_1_5.txt;3763;15224;0;3850;6727;1014;3841;15314;46;3841;15314;0;3841;15314;3;3841;15314;17
;problem_50_1000_1_2_5.txt;8173;16812;0;8311;11086;1014;8483;17088;1279;8483;17088;0;8483;17088;7;8483;17088;17
;problem_50_1000_1_3_5.txt;12983;20189;0;12745;14500;1014;12983;20189;6926;12983;20189;0;12983;20189;12;12983;20189;12
;problem_50_1000_1_4_5.txt;14318;22030;0;12802;15526;1014;8588;16590;10015;14668;22276;0;14668;22276;15;14668;22276;15
;problem_50_1000_1_5_5.txt;22789;20394;0;17467;14018;1014;10642;15081;10015;22789;20394;0;22789;20394;32;22789;20394;11
;problem_50_1000_2_1_5.txt;3469;4316;0;3914;4008;1014;3913;4789;0;3913;4789;0;3913;4789;2;3913;4789;32
;problem_50_1000_2_2_5.txt;8259;9391;0;8498;8765;1014;8507;9640;702;8507;9640;0;8507;9640;6;8507;9640;22
;problem_50_1000_2_3_5.txt;12763;14187;0;13003;13179;1014;12100;13500;10015;13002;14405;0;13002;14405;12;13002;14405;53
;problem_50_1000_2_4_5.txt;14417;15872;0;13963;14158;1014;10599;12013;10015;14679;16120;0;14679;16120;15;14679;16120;19
;problem_50_1000_2_5_5.txt;22698;22946;0;16935;16807;1014;16232;17023;10015;22888;23098;0;22910;23098;27;22888;23098;47
;problem_50_1000_3_1_5.txt;4153;4343;0;4319;4419;1014;4322;4512;577;4322;4512;0;4322;4512;3;4322;4512;32
;problem_50_1000_3_2_5.txt;9216;9466;0;9664;9844;1014;8621;8861;10015;9664;9914;0;9664;9914;28;9664;9914;307
;problem_50_1000_3_3_5.txt;12931;13271;0;13210;13470;1014;7109;7349;10015;13210;13550;0;13210;13550;18;13210;13550;571
;problem_50_1000_3_4_5.txt;14950;15360;0;14769;15089;1014;5351;5591;10015;15024;15424;0;15024;15424;24;15024;15424;1105
;problem_50_1000_3_5_5.txt;20179;20629;0;17079;17419;1014;5647;5887;10015;20755;21205;0;20755;21205;37;20755;21205;73
;problem_50_1000_4_1_5.txt;4254;4254;0;4322;4322;1014;4322;4322;0;4322;4322;0;4322;4322;1;4322;4322;12
;problem_50_1000_4_2_5.txt;9308;9308;0;9664;9664;1014;9664;9664;171;9664;9664;0;9664;9664;3;9664;9664;7
;problem_50_1000_4_3_5.txt;12645;12645;15;13210;13210;1014;11250;11250;10015;13210;13210;0;13210;13210;8;13210;13210;63
;problem_50_1000_4_4_5.txt;14909;14909;0;13656;13656;1014;10388;10388;10015;15024;15024;0;15024;15024;16;15024;15024;15
;problem_50_1000_4_5_5.txt;20351;20351;0;14926;14926;1014;11770;11770;10015;20755;20755;0;20755;20755;25;20754;20754;25
;problem_100_50_1_1_5.txt;471;1223;0;486;640;1014;275;913;10015;488;1244;0;488;1244;1;488;1244;20
;problem_100_50_1_2_5.txt;744;1648;0;771;991;1014;175;892;10015;779;1675;0;779;1675;3;779;1675;17
;problem_100_50_1_3_5.txt;1207;2066;0;1228;1491;1014;254;863;10015;1243;2094;0;1244;2094;6;1244;2094;14
;problem_100_50_1_4_5.txt;1642;2319;0;1212;1416;1014;197;789;10015;1664;2330;0;1664;2330;9;1664;2330;21
;problem_100_50_1_5_5.txt;2182;2415;0;1337;1460;1014;168;669;10015;2182;2415;0;2186;2415;12;2182;2415;12
;problem_100_50_2_1_5.txt;445;534;15;486;503;1014;488;581;1232;488;581;0;488;581;1;488;581;20
;problem_100_50_2_2_5.txt;767;916;0;779;826;1014;240;325;10015;779;928;0;779;928;2;779;928;35
;problem_100_50_2_3_5.txt;1241;1341;0;1213;1217;1014;491;573;10015;1244;1344;0;1244;1344;5;1244;1344;10
;problem_100_50_2_4_5.txt;1656;1788;0;1188;1195;1014;443;537;10015;1664;1795;0;1664;1795;7;1664;1795;17
;problem_100_50_2_5_5.txt;2176;2270;0;1407;1438;1014;385;474;10015;2191;2283;0;2191;2283;14;2191;2283;16
;problem_100_50_3_1_5.txt;477;837;0;480;670;1014;237;477;10015;480;840;0;480;840;1;480;840;9
